Event,Time,L1,L2,H,Server Available,Queue Size,Process Time,Queue Contents
Taken FROM QUEUE,5.96,6.16,6.03,7.88,true,25,1.92,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,6.03,6.16,6.31,7.88,false,26,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,6.16,6.93,6.31,7.88,false,27,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,6.31,6.93,6.33,7.88,false,28,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,6.33,6.93,6.99,7.88,false,29,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,6.93,7.42,6.99,7.88,false,30,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,6.99,7.42,7.12,7.88,false,31,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,7.12,7.42,7.52,7.88,false,32,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,7.42,7.71,7.52,7.88,false,33,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,7.52,7.71,7.54,7.88,false,34,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,7.54,7.71,7.55,7.88,false,35,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,7.55,7.71,7.79,7.88,false,36,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,7.71,8.74,7.79,7.88,false,37,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,7.79,8.74,8.12,7.88,false,38,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,7.88,8.74,8.12,9.83,true,37,1.94,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,8.12,8.74,8.42,9.83,false,38,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,8.42,8.74,8.69,9.83,false,39,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,8.69,8.74,8.99,9.83,false,40,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,8.74,9.28,8.99,9.83,false,41,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,8.99,9.28,9.07,9.83,false,42,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,9.07,9.28,9.38,9.83,false,43,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,9.28,9.92,9.38,9.83,false,44,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,9.38,9.92,9.50,9.83,false,45,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,9.50,9.92,9.58,9.83,false,46,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,9.58,9.92,9.64,9.83,false,47,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,9.64,9.92,9.70,9.83,false,48,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,9.70,9.92,9.93,9.83,false,49,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,9.83,9.92,9.93,11.91,true,48,2.08,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,9.92,10.05,9.93,11.91,false,49,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,9.93,10.05,9.98,11.91,false,50,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,9.98,10.05,10.08,11.91,false,51,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,10.05,11.12,10.08,11.91,false,52,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,10.08,11.12,10.26,11.91,false,53,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,10.26,11.12,10.59,11.91,false,54,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,10.59,11.12,10.64,11.91,false,55,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,10.64,11.12,11.01,11.91,false,56,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,11.01,11.12,11.07,11.91,false,57,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,11.07,11.12,11.53,11.91,false,58,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,11.12,11.15,11.53,11.91,false,59,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,11.15,11.49,11.53,11.91,false,60,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,11.49,12.09,11.53,11.91,false,61,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,11.53,12.09,11.68,11.91,false,62,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,11.68,12.09,11.69,11.91,false,63,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,11.69,12.09,12.17,11.91,false,64,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,11.91,12.09,12.17,13.95,true,63,2.05,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,12.09,12.43,12.17,13.95,false,64,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,12.17,12.43,13.04,13.95,false,65,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,12.43,12.75,13.04,13.95,false,66,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,12.75,12.93,13.04,13.95,false,67,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,12.93,13.29,13.04,13.95,false,68,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,13.04,13.29,13.48,13.95,false,69,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,13.29,15.39,13.48,13.95,false,70,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,13.48,15.39,13.49,13.95,false,71,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,13.49,15.39,13.78,13.95,false,72,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,13.78,15.39,13.79,13.95,false,73,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,13.79,15.39,13.99,13.95,false,74,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,13.95,15.39,13.99,15.74,true,73,1.79,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,13.99,15.39,14.10,15.74,false,74,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,14.10,15.39,14.44,15.74,false,75,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,14.44,15.39,14.49,15.74,false,76,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,14.49,15.39,14.95,15.74,false,77,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,14.95,15.39,15.02,15.74,false,78,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,15.02,15.39,15.12,15.74,false,79,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,15.12,15.39,15.15,15.74,false,80,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,15.15,15.39,15.25,15.74,false,81,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,15.25,15.39,15.30,15.74,false,82,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,15.30,15.39,15.54,15.74,false,83,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,15.39,16.97,15.54,15.74,false,84,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,15.54,16.97,15.72,15.74,false,85,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,15.72,16.97,16.91,15.74,false,86,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,15.74,16.97,16.91,17.27,true,85,1.53,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,16.91,16.97,16.96,17.27,false,86,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,16.96,16.97,17.75,17.27,false,87,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,16.97,17.74,17.75,17.27,false,88,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,17.27,17.74,17.75,19.16,true,87,1.88,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,17.74,18.22,17.75,19.16,false,88,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,17.75,18.22,18.55,19.16,false,89,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,18.22,18.57,18.55,19.16,false,90,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,18.55,18.57,19.55,19.16,false,91,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,18.57,18.98,19.55,19.16,false,92,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,18.98,21.16,19.55,19.16,false,93,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,19.16,21.16,19.55,21.56,true,92,2.40,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,19.55,21.16,19.65,21.56,false,93,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,19.65,21.16,19.69,21.56,false,94,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,19.69,21.16,21.24,21.56,false,95,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,21.16,21.61,21.24,21.56,false,96,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,21.24,21.61,21.46,21.56,false,97,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,21.46,21.61,21.55,21.56,false,98,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,21.55,21.61,22.14,21.56,false,99,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,21.56,21.61,22.14,23.67,true,98,2.11,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,21.61,21.62,22.14,23.67,false,99,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,21.62,22.27,22.14,23.67,false,100,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,22.14,22.27,22.28,23.67,false,101,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,22.27,22.38,22.28,23.67,false,102,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,22.28,22.38,22.47,23.67,false,103,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,22.38,22.44,22.47,23.67,false,104,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,22.44,22.74,22.47,23.67,false,105,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,22.47,22.74,22.58,23.67,false,106,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,22.58,22.74,22.80,23.67,false,107,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,22.74,22.79,22.80,23.67,false,108,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,22.79,23.99,22.80,23.67,false,109,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,22.80,23.99,22.85,23.67,false,110,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,22.85,23.99,23.01,23.67,false,111,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,23.01,23.99,23.04,23.67,false,112,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,23.04,23.99,23.21,23.67,false,113,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,23.21,23.99,23.23,23.67,false,114,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,23.23,23.99,23.39,23.67,false,115,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,23.39,23.99,24.07,23.67,false,116,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,23.67,23.99,24.07,25.21,true,115,1.54,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,23.99,24.63,24.07,25.21,false,116,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,24.07,24.63,24.08,25.21,false,117,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,24.08,24.63,24.27,25.21,false,118,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,24.27,24.63,24.48,25.21,false,119,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,24.48,24.63,25.09,25.21,false,120,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,24.63,26.25,25.09,25.21,false,121,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,25.09,26.25,25.65,25.21,false,122,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,25.21,26.25,25.65,27.21,true,121,2.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,25.65,26.25,25.82,27.21,false,122,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,25.82,26.25,25.85,27.21,false,123,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,25.85,26.25,25.93,27.21,false,124,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,25.93,26.25,26.21,27.21,false,125,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,26.21,26.25,26.75,27.21,false,126,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,26.25,26.54,26.75,27.21,false,127,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,26.54,26.99,26.75,27.21,false,128,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,26.75,26.99,26.83,27.21,false,129,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,26.83,26.99,27.46,27.21,false,130,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,26.99,27.30,27.46,27.21,false,131,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,27.21,27.30,27.46,28.81,true,130,1.60,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,27.30,27.42,27.46,28.81,false,131,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,27.42,27.73,27.46,28.81,false,132,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,27.46,27.73,27.59,28.81,false,133,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,27.59,27.73,27.65,28.81,false,134,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,27.65,27.73,27.93,28.81,false,135,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,27.73,27.95,27.93,28.81,false,136,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,27.93,27.95,27.96,28.81,false,137,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,27.95,28.63,27.96,28.81,false,138,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,27.96,28.63,28.15,28.81,false,139,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,28.15,28.63,28.45,28.81,false,140,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,28.45,28.63,29.23,28.81,false,141,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,28.63,28.76,29.23,28.81,false,142,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,28.76,29.95,29.23,28.81,false,143,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,28.81,29.95,29.23,30.68,true,142,1.87,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,29.23,29.95,29.71,30.68,false,143,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,29.71,29.95,29.76,30.68,false,144,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,29.76,29.95,30.42,30.68,false,145,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,29.95,32.03,30.42,30.68,false,146,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,30.42,32.03,31.58,30.68,false,147,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,30.68,32.03,31.58,32.22,true,146,1.54,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,31.58,32.03,31.95,32.22,false,147,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,31.95,32.03,32.11,32.22,false,148,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,32.03,33.32,32.11,32.22,false,149,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,32.11,33.32,32.61,32.22,false,150,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,32.22,33.32,32.61,34.44,true,149,2.22,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,32.61,33.32,32.65,34.44,false,150,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,32.65,33.32,32.86,34.44,false,151,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,32.86,33.32,32.95,34.44,false,152,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,32.95,33.32,32.98,34.44,false,153,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,32.98,33.32,33.10,34.44,false,154,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,33.10,33.32,33.36,34.44,false,155,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,33.32,33.38,33.36,34.44,false,156,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,33.36,33.38,33.37,34.44,false,157,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,33.37,33.38,33.40,34.44,false,158,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,33.38,33.56,33.40,34.44,false,159,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,33.40,33.56,33.49,34.44,false,160,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,33.49,33.56,33.91,34.44,false,161,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,33.56,34.27,33.91,34.44,false,162,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,33.91,34.27,34.31,34.44,false,163,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,34.27,38.04,34.31,34.44,false,164,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,34.31,38.04,34.41,34.44,false,165,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,34.41,38.04,34.77,34.44,false,166,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,34.44,38.04,34.77,36.59,true,165,2.14,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,34.77,38.04,34.86,36.59,false,166,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,34.86,38.04,34.93,36.59,false,167,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,34.93,38.04,34.96,36.59,false,168,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,34.96,38.04,35.11,36.59,false,169,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,35.11,38.04,35.46,36.59,false,170,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,35.46,38.04,35.59,36.59,false,171,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,35.59,38.04,35.69,36.59,false,172,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,35.69,38.04,35.76,36.59,false,173,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,35.76,38.04,35.77,36.59,false,174,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,35.77,38.04,36.51,36.59,false,175,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,36.51,38.04,36.59,36.59,false,176,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,36.59,38.04,36.69,36.59,false,177,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,36.59,38.04,36.69,38.54,true,176,1.95,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,36.69,38.04,36.91,38.54,false,177,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,36.91,38.04,37.13,38.54,false,178,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,37.13,38.04,37.37,38.54,false,179,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,37.37,38.04,37.63,38.54,false,180,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,37.63,38.04,37.66,38.54,false,181,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,37.66,38.04,37.73,38.54,false,182,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,37.73,38.04,38.46,38.54,false,183,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,38.04,38.60,38.46,38.54,false,184,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,38.46,38.60,38.51,38.54,false,185,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,38.51,38.60,38.66,38.54,false,186,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,38.54,38.60,38.66,40.49,true,185,1.95,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,38.60,40.37,38.66,40.49,false,186,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,38.66,40.37,38.80,40.49,false,187,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,38.80,40.37,39.17,40.49,false,188,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,39.17,40.37,39.27,40.49,false,189,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,39.27,40.37,39.29,40.49,false,190,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
