L1,L2,H,Process Time
0.26721,0.07589,1.76348,3.00715
1.15349,0.12440,2.03967,3.53924
0.46643,0.15822,1.96093,1.28283
0.61454,0.00166,2.01412,2.87394
1.32035,0.63875,1.77351,3.19147
0.90917,0.07270,2.37101,2.80927
0.76263,0.35127,1.85461,2.04046
1.52939,0.08428,1.79985,2.57374
0.29260,0.29089,1.71402,1.75558
0.45462,0.11761,1.75439,2.29342
0.58804,0.32207,2.50706,2.23784
0.75466,0.02263,2.25865,2.46890
0.76306,0.24208,2.31203,3.72908
0.18980,0.78817,2.19070,3.58705
0.95353,0.16405,2.16739,3.05204
0.99015,0.79395,2.02834,2.86035
0.05808,0.15459,2.33749,2.05896
0.28438,0.21889,1.78824,2.11402
0.08165,0.18581,2.14597,3.62105
0.06946,0.01968,1.62079,2.99677
0.01376,0.10403,1.71919,3.33363
0.56312,0.05324,1.90598,3.62269
0.16375,0.23083,2.34680,3.58091
0.01148,0.01491,2.13617,2.84158
0.89899,0.12378,1.48795,3.33965
0.71967,0.08784,1.97797,3.76633
0.10800,0.16824,1.78613,2.11754
0.05752,0.63909,1.52154,2.13799
0.16102,0.06778,2.37834,3.13646
0.13816,0.02660,2.69118,2.97969
0.68233,0.03468,2.11005,3.83980
0.17925,0.10424,2.67844,3.40130
0.10355,0.56216,1.73835,3.54575
0.06130,1.08470,1.78122,2.99705
2.36923,0.06270,1.87625,2.61363
2.22109,0.21537,1.79921,3.65517
0.33740,0.08569,1.87444,3.42834
0.47204,0.06144,1.28608,2.87883
2.50031,0.15819,1.94049,1.75600
0.48430,0.08476,1.89596,3.81858
0.45076,0.62253,1.66369,3.46776
0.29845,0.27886,2.07496,3.16686
1.09175,0.12704,1.89472,3.02861
0.10223,0.19331,2.22925,2.60289
1.22453,0.39583,2.24961,3.45751
0.02557,0.01914,2.40003,2.76523
1.19876,0.09636,2.11868,2.95658
0.46781,0.17744,2.12169,3.33734
0.48384,0.04026,2.10193,3.13576
0.04686,0.75797,1.45576,3.37398
0.90971,0.09413,1.57237,3.03551
0.25143,0.15835,1.93705,2.83329
1.04710,0.22868,2.21480,3.70320
0.19702,0.31529,2.00863,2.38961
0.11182,0.01028,1.94457,3.02982
1.73340,0.29536,1.61121,2.74385
0.39225,0.15098,1.84345,2.69859
0.90722,0.42100,2.24687,2.77568
0.79436,0.25964,1.67247,4.07618
1.56824,0.02978,2.21799,3.20255
0.09344,0.32932,2.14408,3.30970
1.99663,0.01601,1.90665,3.43216
0.37642,0.07740,1.96465,2.02643
0.27133,0.21501,1.65125,2.86766
0.45599,0.09079,1.91695,3.61725
0.01268,0.34817,2.61554,3.77435
1.01831,0.28436,1.92242,2.44204
0.25644,1.29444,1.53772,3.13397
0.24307,0.52610,1.88708,3.35023
0.01831,0.15045,1.78261,2.96359
0.02244,0.22060,2.10028,3.01186
0.19313,0.27526,2.48646,2.81538
1.31903,0.06753,1.59752,2.52037
0.26244,1.05290,2.19046,3.14252
1.40096,0.01374,1.77736,1.90735
0.27147,0.73896,1.80871,3.16231
1.35969,0.26020,2.38279,3.05004
0.54688,0.15582,1.77194,3.61467
0.09052,0.17801,2.11028,2.81628
2.06121,0.03950,1.80568,3.21201
0.78051,0.13001,2.17710,3.15719
3.35100,0.34454,1.91066,3.00662
0.61278,0.05939,2.33423,2.25754
1.67653,0.16673,2.40858,3.08516
1.11964,0.15421,2.16470,3.20928
0.34044,0.65962,2.11628,2.84848
0.26417,0.34720,1.97360,3.22894
0.69046,0.14660,2.26926,3.44416
0.80706,0.07187,1.44122,3.29560
0.39267,0.42177,2.20602,2.94956
0.06521,0.90757,2.29617,3.05402
0.65112,0.78215,2.11083,3.75326
2.08020,0.31364,1.82202,2.42696
0.31250,0.41727,2.10743,3.73414
0.25953,0.17851,1.73043,3.41253
0.22391,0.04221,2.13975,3.11759
0.42592,0.06254,1.92296,2.83374
0.70262,0.02167,1.58622,3.82722
0.08748,0.58852,2.08963,2.84019
0.33004,0.35252,1.98463,3.23091
0.35309,0.26492,1.67132,2.57678
0.36412,0.07573,2.02466,3.13228
0.43124,0.47921,2.10386,3.33270
1.09873,0.30356,2.02485,2.95910
0.10207,0.10456,1.66925,2.86739
1.57902,0.52113,1.59284,2.75847
0.18705,0.07104,2.25309,3.15386
0.87844,0.09495,1.55545,3.34007
0.01821,0.10970,2.12252,2.97893
1.49886,0.38313,1.90213,3.11296
0.65215,0.01273,2.15716,2.77394
0.74733,0.17227,2.21638,2.83271
0.22482,0.01950,1.78985,1.73763
0.18651,0.02699,1.85677,2.60025
0.42815,0.15226,1.95987,3.12296
2.90752,0.53944,1.84242,2.86433
0.30736,0.63386,1.99293,3.25844
0.33787,0.71077,2.15811,3.98210
1.88685,0.11076,2.08705,2.79334
0.12036,0.25282,1.94851,3.37051
0.66962,0.14260,2.17477,2.88202
0.21493,0.28401,2.09597,3.73276
0.27485,0.20114,1.80627,3.96724
1.31265,0.08915,2.24553,3.50223
0.04542,0.08064,1.88590,2.64973
0.03620,0.16415,2.11964,2.29780
0.56212,0.20620,2.50858,2.37537
0.26054,0.16839,1.69986,2.26377
0.58264,0.07928,1.94332,2.40748
0.43452,0.02614,1.96092,2.57282
1.30848,0.36900,1.53451,2.41511
0.16625,0.09839,1.72187,2.92414
0.42208,0.14132,2.09660,2.93515
0.49310,0.13234,1.90661,2.17471
1.57272,0.05280,2.22909,3.33839
0.55218,0.08054,1.56362,2.81606
0.78225,0.13565,2.12256,3.84917
1.64518,0.13229,2.28931,3.17400
0.41085,1.45392,2.29637,3.58773
0.27358,0.32177,2.20517,2.80236
0.16087,0.19714,1.92690,2.82980
0.40080,0.00010,2.43386,2.86678
0.25677,0.05560,1.93365,2.74365
0.06716,0.08286,2.05767,3.04112
0.83235,0.20278,2.43926,2.87577
0.77294,0.17803,1.88317,3.52667
0.31616,0.69439,2.18384,2.98468
0.32804,0.40108,1.55582,3.43722
0.82625,0.45126,1.86660,2.85595
1.16820,0.02802,1.99600,3.11958
1.54749,0.26099,2.02443,3.39341
1.93216,0.00260,1.62307,3.40399
0.71245,0.01660,2.15134,3.49628
0.83195,0.03979,2.16053,3.27185
0.69713,0.04086,2.61151,2.85340
1.02369,0.19209,2.13312,3.01164
1.20243,0.11478,2.42708,2.47016
0.40927,0.04663,1.97959,2.45788
0.80758,0.18418,1.67803,2.52082
1.49076,0.42233,2.36681,2.73278
0.22909,0.06132,2.29192,2.71122
1.42035,0.49551,1.85564,3.00570
0.15252,0.39294,2.30823,3.20591
0.17707,0.13105,1.74413,3.56595
1.11692,0.33959,1.74787,2.50247
0.66490,0.24528,1.29130,3.22726
1.02150,0.18859,2.05378,3.78861
0.89741,0.14842,1.64577,2.69839
0.48709,0.07728,1.77537,2.93076
0.43134,0.07481,1.54100,3.28936
0.99367,0.30527,1.90654,3.34384
0.05578,0.06233,1.39022,2.77744
0.80555,0.55587,2.29586,3.05116
0.57530,0.42606,1.92072,2.59093
0.61284,0.00213,1.46442,2.70924
0.61899,0.03438,2.16922,3.16513
1.45584,0.05588,1.87059,1.95051
0.00601,0.26978,1.99994,4.03928
0.29402,0.57882,1.81458,2.67496
0.16108,0.05302,2.73072,2.85849
0.29241,0.28218,2.29574,2.36702
0.20022,0.00381,2.36807,2.73671
0.10509,0.48021,1.75172,3.40119
1.41782,0.89115,2.03812,3.32514
0.02103,0.10721,2.38324,2.77772
0.09269,0.04411,1.51074,4.17975
0.89486,0.07953,1.81042,2.65196
0.66597,0.01349,1.95402,2.62507
0.01374,0.30513,1.81358,3.22321
0.13542,0.02851,1.93720,2.50998
0.78892,0.03573,2.29752,3.10532
0.78150,0.44714,1.94132,3.19494
0.74725,0.03629,1.88976,3.40561
0.82809,0.07089,1.46919,4.05209
0.01547,0.22288,2.06807,2.79071
1.60721,0.13128,1.96042,2.72216
0.71255,0.19328,2.37320,2.93097
1.67826,0.45749,1.99505,2.74123
0.52053,0.38485,1.58827,2.02113
1.48334,0.10634,2.39918,3.70567
2.75251,0.92509,1.85060,2.84829
0.09867,0.50096,2.33494,3.28981
0.61949,0.18458,1.45617,3.38486
0.50183,0.17240,1.97582,3.15114
0.20741,0.01239,1.74969,2.71361
0.78237,0.20400,1.56553,3.44848
0.32569,0.00147,2.00530,2.90847
0.01060,0.20243,2.15031,3.34866
0.06922,0.24843,2.29137,2.48808
0.46506,0.20982,2.16656,3.38295
0.13711,0.86869,1.85008,3.58579
0.81387,0.07056,2.05866,2.63000
0.28193,0.06850,1.91182,3.32457
1.29562,0.00018,2.19831,3.60050
1.59908,1.01580,1.96228,3.38811
1.35088,0.03458,1.79007,3.47265
0.11754,0.03595,1.61057,3.21783
0.97165,0.11090,1.74126,3.84636
0.67700,0.14827,2.05425,3.27056
0.28204,0.08975,2.28964,2.98641
1.07782,0.01610,1.64015,3.29789
0.35468,0.41029,1.60357,3.36481
0.39654,0.58607,2.29891,2.80164
0.44484,0.07082,1.66365,3.58860
0.34972,0.35251,2.00976,2.61829
0.00247,0.02173,2.37997,3.01664
1.16609,0.54222,1.85697,3.02832
0.02464,0.31463,1.61002,1.86813
0.18762,0.03904,2.32378,2.67248
0.11716,0.24419,2.07663,3.03646
0.37492,0.17217,2.43186,2.87376
0.49039,0.29396,1.36502,2.38091
0.15816,0.08809,2.27135,2.82507
1.78032,0.11780,2.31117,3.00439
0.12496,0.01445,2.17597,3.25637
0.48462,0.13129,1.79479,2.59019
1.69379,0.34807,1.85622,3.01578
0.26797,0.61755,1.42604,3.53526
1.03125,0.28459,2.36063,2.36220
0.22129,0.15411,2.17275,3.01380
0.26199,0.33673,1.67490,3.26073
0.09723,0.40072,2.04447,2.74004
2.52240,0.02626,2.10962,2.10568
1.15899,0.03198,2.18885,3.63977
0.28714,0.05906,1.99120,2.91545
1.05474,0.19018,1.95403,2.74665
0.50219,0.92024,2.27003,3.04554
0.74690,0.10565,2.28178,1.88280
0.26707,0.19852,1.87603,2.82904
0.04021,0.27335,1.86726,4.08815
0.11720,0.24128,2.25872,2.75184
0.90763,0.22767,2.32402,3.62559
0.08536,0.13487,2.06677,2.57819
0.30040,0.00344,2.43428,3.26093
1.45200,0.01874,1.99839,2.80214
1.22430,0.84516,1.66445,3.11564
0.39517,0.49417,1.69528,3.34771
0.28893,0.53699,1.67614,3.60500
0.05254,0.49728,1.46800,2.47213
0.30497,0.21916,1.95554,2.66943
0.03760,0.03821,1.85760,3.78419
2.41987,0.06568,2.62091,3.09385
1.55588,0.29960,2.22225,3.46840
2.20173,0.05984,1.99315,3.64005
0.07967,0.01959,2.20594,3.44324
0.75020,0.10853,2.52295,3.02526
0.49118,0.14107,2.42906,3.74752
1.33560,0.28607,1.71297,2.74779
0.32396,0.40795,1.85546,3.69480
0.04464,0.32298,1.67458,1.99805
0.38403,0.02847,1.88435,2.47581
0.12373,0.59991,2.26421,2.79573
1.35873,0.20029,2.03796,3.04404
0.06369,0.00410,1.82217,3.64460
0.07291,0.56324,2.35507,2.53189
0.13504,0.05294,1.95806,3.39109
1.05988,0.58010,2.26985,2.98970
0.66345,0.02934,1.77685,3.16239
1.64275,0.01413,2.08374,2.89040
0.35202,0.01435,2.26554,3.07962
1.00437,0.09421,1.63240,3.18701
0.36595,0.14440,1.37779,3.52203
2.44810,0.02201,2.06048,1.92244
0.16883,0.00940,1.82156,3.09528
0.96680,0.32103,2.39757,3.10974
0.62706,0.04161,2.18821,2.95544
0.32993,0.14025,2.12459,2.62540
0.24700,0.46220,2.29502,3.92776
0.89965,0.32351,1.84761,2.95254
0.58087,0.13057,1.57925,2.79218
0.01289,0.11291,1.75117,3.32420
1.38216,0.01217,1.86649,3.11592
0.05739,0.25101,2.16088,2.94219
0.18805,0.03002,1.71949,2.97856
1.49314,0.16001,1.54124,2.71369
0.41599,0.07216,2.07641,2.92754
0.47950,0.01106,2.30641,4.14741
0.25395,0.16358,2.10273,3.29476
0.94110,0.16293,1.49860,3.08938
1.07086,0.05406,2.15096,3.17314
0.85705,0.44233,2.20629,2.99807
2.23916,0.09855,2.27098,2.79549
0.16805,0.51471,1.62460,3.24586
0.34196,0.08061,2.00209,3.18375
0.28351,0.11767,2.20222,2.88774
0.44208,0.03634,1.82867,3.12762
0.64540,0.13379,2.88758,3.08909
0.51953,0.02244,2.36191,2.80545
0.71762,0.06810,2.49843,2.66539
0.61367,0.62308,1.78090,2.69286
0.23744,0.05692,1.87071,3.32826
0.00509,0.22588,1.86346,2.76911
0.12775,0.05860,1.92972,3.33676
1.54082,0.00431,1.67441,2.93807
1.94261,0.10990,2.14055,3.67841
2.37902,0.00591,1.92198,2.35861
0.09740,0.15653,2.49541,3.07334
1.14467,0.26057,2.68199,3.19322
0.40396,0.43926,1.93905,2.33256
0.04045,0.32749,2.05908,3.67238
0.03990,0.41694,2.41437,1.83689
0.23887,0.00617,1.32866,3.06693
0.15000,0.13769,1.64631,2.83494
0.61458,0.12992,2.06269,3.41933
0.74482,0.14488,1.98146,2.86771
0.80853,0.61603,2.17541,2.37278
1.17592,0.16249,2.16513,3.52461
0.28102,0.17693,2.40003,3.12134
0.03281,0.21240,2.44341,3.45871
1.19270,0.19671,2.00512,3.21712
2.14181,0.27680,2.07321,3.24421
0.50107,0.28986,2.21919,3.05073
0.56598,0.46597,2.11158,2.94722
1.76053,0.33007,1.68998,3.13734
1.13410,0.31440,2.88382,2.47189
0.78194,0.45861,2.11686,3.13767
0.25840,0.00269,1.95289,3.53328
0.19333,0.37317,2.71890,2.88790
0.64533,0.40503,2.36490,3.43543
0.44983,0.29729,2.22610,3.46688
0.25822,0.73119,1.81146,4.05362
0.47077,0.52422,2.33841,2.68052
0.24283,0.42715,1.80490,3.08907
0.59424,0.07685,2.00864,2.77411
0.43133,0.04893,2.27732,3.50870
2.12433,0.00048,2.10469,3.67503
0.20147,0.01024,1.75482,2.64139
0.77815,0.13039,1.94238,3.25792
0.12956,0.14395,2.06095,2.53934
0.26590,0.29381,1.88428,3.48286
2.86578,0.68534,2.10659,3.38476
0.16096,0.17596,2.18459,3.30792
0.11356,0.07975,2.14438,3.82851
0.18221,0.11817,1.46158,3.95512
0.68112,0.10992,1.55312,3.41146
2.09105,0.44402,1.70610,3.26499
0.01735,0.08529,2.29670,3.79694
0.78623,0.29301,2.62039,2.23774
0.90969,0.57280,1.65159,2.79967
0.25007,0.00050,2.34966,4.20266
0.68805,0.16512,2.15431,3.70140
1.46584,0.70053,2.08216,2.61757
1.79522,0.83562,1.95630,3.18688
0.61742,0.52260,1.79992,3.25283
1.86109,0.01385,2.25603,3.22775
1.74356,0.66240,1.97536,3.48111
0.21728,0.01916,1.74477,3.42691
0.16036,0.65240,1.90290,3.18224
0.07228,0.49818,2.05274,2.91995
0.20424,0.13803,2.24729,3.41189
0.24298,0.60727,1.93601,2.33012
0.70100,0.35050,1.75652,3.71014
0.95554,0.16946,1.88348,3.59090
0.75010,0.02803,1.84619,3.04723
0.56352,0.05236,1.98413,2.39419
0.27732,0.10030,2.02107,3.12544
0.80012,0.91067,1.39716,3.02966
0.86137,0.34008,1.89024,2.10028
0.08770,0.26811,2.11402,2.65605
0.11003,0.18294,1.79266,3.50713
0.65838,0.16783,1.80443,3.16988
0.02428,0.46177,2.32236,3.47178
0.07948,0.39145,1.95728,3.19853
0.11992,0.18787,1.94085,2.87750
0.08513,0.18521,1.66248,3.53731
0.55995,0.56792,1.55009,3.57665
0.94417,0.43351,2.31277,2.84134
0.07137,0.08578,2.35035,3.42252
0.34151,0.33838,1.82761,2.97631
0.00962,0.01387,1.60608,2.18331
0.26170,0.00459,2.01432,3.30293
0.44515,0.17300,2.11910,1.97876
0.58056,0.31245,1.75117,3.41773
0.08678,0.05140,1.85420,3.56295
1.70985,0.40237,1.82403,2.39464
0.37688,0.35870,1.76808,3.51013
0.92417,0.97944,1.98295,2.78282
1.02352,0.29181,2.56590,2.77898
0.89058,0.03563,1.83849,2.73393
0.50790,0.66117,1.87647,2.87219
0.22397,0.02582,1.96892,3.44755
0.69799,0.03449,2.69929,3.11173
0.16786,0.23654,1.75250,2.47575
0.29803,0.42295,1.89453,3.15491
0.49557,0.49413,2.24767,2.94925
0.36119,0.59143,1.92397,3.17240
1.55550,0.44399,1.87272,2.58697
0.12874,0.17676,2.08245,2.74268
0.35911,0.91313,1.96705,3.00055
1.22569,0.11554,2.14765,4.13824
0.22504,0.00910,1.83086,2.91431
0.25053,0.20369,2.04152,3.61114
0.28866,0.35626,2.20139,3.23100
1.49311,0.03445,1.44253,3.54823
0.98501,0.23201,1.83520,2.37527
0.25970,0.16579,2.23726,4.29557
1.57006,0.25226,2.33012,3.65691
1.25863,0.18008,1.48649,2.06317
0.21775,0.00592,1.89151,3.06154
0.93791,0.61442,2.27464,3.15513
3.46519,0.26395,2.52423,2.74477
0.45381,0.07836,1.92495,3.62807
0.37960,0.54541,2.24579,3.70441
3.76432,0.32224,2.21235,2.85359
0.05791,0.33085,2.05453,2.76860
0.30623,0.81627,2.29840,2.98350
0.79233,0.58563,1.92665,3.41996
0.25760,0.10351,1.39226,2.74185
0.42762,0.10742,1.92418,2.18459
0.77411,0.00389,1.75997,2.98120
1.29689,0.21208,2.14138,1.95841
1.47987,0.25165,1.89249,2.73465
2.16055,0.22004,1.40055,2.71799
0.75662,0.24681,1.75919,3.64456
0.42772,0.53059,2.15524,3.80158
1.36111,0.09062,1.96217,3.23716
2.77561,0.23623,1.53462,2.91634
0.23425,0.32507,1.36917,2.86851
0.91250,0.57609,2.21406,3.09548
0.23232,0.13934,1.86219,3.13305
0.01968,0.04955,1.87415,2.32475
0.46666,0.10146,2.36407,2.35221
0.35416,0.22447,2.61265,2.72748
0.15121,0.63890,1.91063,2.66633
1.51334,0.18718,2.25164,2.14704
0.13137,0.45261,1.82201,3.20333
1.10851,0.20372,2.13995,2.37233
1.96679,0.51344,2.17964,3.76734
0.26744,0.11046,1.79633,3.11835
0.18206,0.42890,1.69089,2.61024
1.61998,0.40059,1.96321,3.74858
0.01765,0.86338,2.36219,2.64114
0.07198,0.37577,1.98202,3.84693
1.92476,0.25431,2.35168,2.84041
0.67094,0.25774,2.04787,2.84129
0.01773,0.20561,1.95834,3.03772
0.77266,0.42503,1.85999,2.86029
0.56454,0.01093,2.48220,3.40328
1.45810,0.20511,2.31980,3.01578
0.26265,0.13341,2.13644,3.39360
1.86802,0.43832,1.40853,3.81719
0.13623,0.03169,2.10604,3.67297
0.09826,0.20733,2.00331,2.92764
0.27065,0.52603,1.95477,3.01698
0.38710,0.18114,2.78474,2.35036
0.58400,0.03796,2.31732,2.32806
0.94297,0.01333,2.53379,2.45918
0.23377,0.16190,1.58085,3.55279
0.42822,0.20713,2.57813,2.44920
0.14873,0.33355,1.49048,3.34027
0.49128,0.04867,1.80019,2.40275
0.50074,0.61469,1.65843,2.73696
0.29770,0.36158,1.55593,3.74116
1.08097,0.38574,1.58413,3.51895
1.17974,0.04470,1.64923,3.06584
0.11920,0.06035,1.76587,3.14936
1.15932,0.20767,1.83468,3.10896
0.54019,0.05680,2.14929,2.89025
0.91567,0.02441,1.62786,3.33956
0.12020,0.60361,2.54650,4.15860
0.13804,0.05245,1.21550,3.21085
0.17991,0.24608,2.09928,2.41124
1.74279,0.17216,2.07922,3.28083
0.67191,1.23900,2.62323,2.29385
1.49623,0.72494,1.79010,3.07799
0.71474,0.00328,1.96920,2.67462
0.30906,0.14365,1.74041,2.62912
1.61724,0.00822,1.91923,2.55700
0.05953,0.53424,1.91038,3.03277
1.24736,0.37663,1.77271,2.83483
0.03845,0.47924,1.90892,2.60629
1.46596,0.03527,2.36689,3.00122
2.61247,0.85749,1.95679,3.34728
0.59774,0.30873,2.02125,2.90569
0.38330,0.10450,1.97478,3.21554
1.02440,0.23940,2.17520,2.77135
0.68123,0.07210,3.20251,2.97288
0.99241,0.14911,2.11303,2.78052
1.24957,0.08919,1.98950,3.44383
0.29624,0.20007,1.76371,2.40286
0.01446,0.27048,1.41784,4.15143
0.11019,0.30656,2.01788,3.68267
0.38801,0.38129,2.16395,3.46468
2.27285,0.16772,2.06255,3.32398
1.91055,0.22218,2.04039,2.39340
0.01009,0.06015,2.89512,2.83201
0.01791,0.71264,1.73579,2.90021
0.83055,0.16985,2.49537,3.17390
0.31359,0.03326,2.54112,2.50293
0.14170,0.15798,2.12669,2.96137
0.10982,0.46565,2.26972,2.40516
0.10530,0.07417,2.25776,4.21396
0.02934,0.00211,2.94402,3.21819
0.01425,0.17652,1.91482,3.30481
0.88840,0.23073,1.77880,3.19043
0.01346,0.23764,2.03587,3.64173
0.06823,0.03868,1.71674,2.93575
1.98199,0.00274,2.07375,3.66884
0.27179,0.00645,2.30961,3.59726
0.66255,1.06835,2.57764,3.30051
0.65910,0.66351,2.54746,3.29077
0.74814,0.12336,2.45126,2.24886
1.22404,0.07179,2.19640,3.26146
1.10407,0.39885,1.93728,3.70601
2.59606,0.11621,1.66583,3.62242
3.13671,0.01459,1.55983,3.05295
2.50009,0.09465,1.81530,2.90695
0.57990,0.10683,2.18938,2.45231
1.84977,0.68370,1.86992,2.90871
0.20084,0.03347,2.45262,2.70406
0.01193,0.02349,1.77955,3.47331
0.66186,0.14487,2.13547,3.63248
0.65518,0.01866,1.96268,2.22430
0.12272,0.01815,2.21661,3.33308
3.02551,0.33448,2.78789,2.64761
1.27166,0.29850,2.53726,1.76412
0.21199,0.39157,2.14199,2.91025
0.18903,0.00683,2.32211,3.70638
0.08609,0.20261,2.53403,2.68718
0.39514,0.02040,2.70001,2.90660
0.69703,0.80041,2.04622,1.66883
0.84229,0.02022,1.98437,1.93919
0.55822,0.32154,2.28866,3.25398
1.48722,0.04698,1.94143,3.95518
0.28695,0.05816,2.45642,3.30107
0.01570,0.30447,1.80796,2.82803
1.42482,0.09594,1.81962,2.99848
0.28788,0.25412,2.15288,2.81779
0.58588,0.22453,1.81044,3.65308
0.77906,0.93313,2.24728,3.33956
0.10971,0.00206,2.02919,2.53495
0.25565,0.65664,2.27728,2.95101
0.57761,0.00681,1.88452,2.25768
0.06378,0.28913,1.92517,3.39170
0.74255,0.20571,1.99695,3.49691
0.37440,0.41590,1.97329,2.89266
0.27875,1.23379,2.03720,3.34739
0.27823,0.45933,1.66919,3.20023
1.51976,0.03779,1.73251,2.81575
0.98843,0.05984,1.74300,3.08472
0.08628,0.30162,2.63858,3.52590
0.31710,0.03281,1.79747,2.41769
0.16334,0.16088,2.04560,3.37630
0.67609,0.12430,2.18903,3.31107
0.43112,0.12635,1.99004,2.63848
0.88225,0.03575,1.77136,3.09125
0.09138,0.06360,2.36385,2.90652
0.01495,0.01506,1.85611,1.74091
1.39952,0.41493,1.79416,3.48399
0.59683,0.00577,1.75160,2.60449
1.13318,0.32521,2.26184,2.86133
2.16576,0.39528,1.61038,3.51206
2.70634,0.02009,1.75911,3.06415
0.47724,0.37802,1.75162,2.29109
2.16575,0.00745,1.94469,2.45656
0.03540,0.23010,1.66270,2.87373
0.26160,0.34743,1.79239,2.67770
0.98350,0.00850,1.55527,3.05472
1.10934,0.01227,2.01327,3.27327
0.81411,0.79022,1.91446,2.97696
1.72326,0.02012,2.19947,2.43580
1.05859,0.31919,2.48341,1.69635
0.16423,0.14729,2.33409,2.94860
0.06762,0.01161,1.80178,2.40935
0.60232,0.11270,2.16366,3.05606
1.47322,0.29615,2.14592,3.89899
0.41374,0.43346,1.41151,2.44477
1.15930,0.18002,2.16137,2.87517
0.17270,0.18716,2.38355,2.64654
0.60177,0.01842,1.75851,3.04030
3.91907,0.02147,1.92931,2.76837
0.39971,0.05785,1.81853,3.54262
0.43037,0.16034,1.19899,2.52929
0.07634,0.19591,2.90833,2.88492
